1 2 9 1981 1 -4 4 -4 -4 -4 -4 -4 4 -4 -4 23537 13731 -4 -4 1057 -4 -4 217 1204 -4 852 404 -4 -4 1122 1493 -4 1997 1951 -4 -4 -4 -4 -4 350 470 -4
2 1 7 1982 1 145 2 -4 -4 -4 -4 181 -4 -4 764 17878 10558 -4 -4 296 -4 951 441 -4 491 456 -4 -4 -4 1208 1344 -4 729 -4 -4 -4 -4 -4 -4 460 440 -4
3 2 9 1983 1 82 2 -4 -4 -4 -4 -4 -4 -4 -4 13780 8743 -4 -4 -4 -4 -4 -4 868 1458 1361 135 -4 -4 923 1073 735 1158 1349 1752 -4 -4 -4 -4 -4 -4 -4
4 2 2 1981 1 -4 2 -4 -4 -4 -4 -4 -4 -4 -4 23429 10022 -4 -4 998 -4 -4 -4 1011 622 647 156 -4 -4 1236 1933 -4 907 998 233 -4 -4 -4 -4 -4 -4 -4
5 1 10 1982 1 -4 2 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4
6 2 1 1982 1 -4 2 -4 -4 -4 -4 -4 -4 -4 -4 6375 3532 -4 -4 -4 -4 -4 -4 683 1967 604 304 -4 -4 1476 1608 1090 1072 1972 1067 -4 -4 -4 -4 -4 -4 -4
7 1 4 1983 1 96 2 -4 -4 -4 -4 -4 -4 -4 -4 2529 2630 -4 -4 -4 -4 -4 -4 2103 2596 2988 1281 -4 -4 2452 2463 2415 1215 1842 1720 -4 -4 -4 -4 -4 -4 -4
8 2 6 1981 1 -4 4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 620 620 -4
9 1 10 1982 1 -4 4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 380 460 -4
10 1 3 1984 1 93 4 103 110 118 120 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 600 560 -4
11 2 6 1982 1 102 2 -4 -4 -4 -4 -4 -4 -4 -4 17716 8673 -4 -4 283 -4 -4 508 72 194 1340 492 -4 -4 1255 541 -4 271 1931 -4 -4 -4 -4 -4 -4 -4 -4
12 1 10 1981 1 -4 2 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4
13 1 11 1984 1 -3 2 104 106 107 106 -4 102 -4 -4 12903 6749 -4 -4 -4 -4 -4 -4 1230 -4 1270 511 -4 -4 1500 1529 65 900 1335 668 -4 -4 -4 -4 -4 -4 108
14 1 7 1980 1 -4 2 -5 -4 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -4 -4 -4 -4 -4 -4 -5
15 2 1 1983 1 -3 2 -4 -4 -4 -4 -4 -4 -4 -4 8641 2677 -4 -4 -4 -4 -4 -4 997 1499 1018 308 -4 -4 1793 1537 562 1585 870 1791 -4 -4 -4 -4 -4 -4 -4
16 1 2 1982 1 96 2 -4 -4 -4 -4 130 -4 -4 -4 18238 -4 -4 -4 730 -4 -4 -4 -4 204 178 1488 -4 5076 800 2359 -4 1846 1242 1139 -4 -4 -4 -4 -4 -4 -4
17 2 11 1981 1 86 2 -4 -4 -4 -5 -4 -4 -4 -4 12087 6299 -4 -4 26 -4 -4 218 639 237 946 534 -4 -4 1515 1517 -4 414 1286 -4 -4 -4 -4 -4 -4 -4 -5
18 1 2 1982 1 96 1 -4 -4 -4 -5 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 1480 562 1905 1980 4138 43 1675 985 911 1965 2190 902 -4 -4 -4 -4 -4 -4 -4
19 1 4 1984 1 -3 1 75 86 80 -4 -4 -4 -4 -4 -3 -3 -4 -4 -4 -4 -4 -4 653 2294 1263 2224 -3 -3 1508 1136 1818 1757 1887 1843 -4 -4 -4 -4 -4 -4 75
20 1 12 1980 1 80 1 -4 -4 -4 -5 -4 -4 -4 -4 8797 2477 -4 -4 -4 -4 -4 -4 1244 151 1639 2054 -4 -4 1684 1550 990 1309 2524 1425 -4 -4 -4 -4 -4 -4 -4
21 1 8 1982 1 90 2 -4 -4 -4 -4 -4 -4 -4 -4 11321 -4 -4 -4 -4 -4 -4 -4 1460 1371 1908 2295 -4 365 1936 1859 1508 791 2491 1565 -4 -4 -4 -4 -4 -4 -4
22 1 6 1982 1 -3 2 -4 -4 -4 -4 -4 -4 -4 -4 18489 4854 -4 -4 -4 -4 -4 -4 2384 1108 1536 1691 -4 -4 1888 1807 895 2125 1973 1688 -4 -4 -4 -4 -4 -4 -4
23 2 1 1983 1 99 2 -4 -4 -4 -4 -4 -4 -4 -4 6836 -4 -4 -4 -4 -4 -4 -4 1514 1824 2193 1217 -4 314 1854 2627 1639 1737 2346 1600 -4 -4 -4 -4 -4 -4 -4
24 1 6 1984 1 89 2 65 65 87 -3 -4 -4 -4 -4 15505 551 -4 -4 -4 -4 -4 -4 1714 2581 2580 1274 -4 -4 2105 2340 2030 2091 2265 2097 -4 -4 -4 -4 -4 -4 -4
25 2 3 1983 1 -3 2 -4 -4 -4 -4 -4 -4 -4 -4 13523 3742 -4 -4 -4 -4 -4 -4 2145 1197 2373 1789 -4 -4 2063 1675 1485 774 2219 1193 -4 -4 -4 -4 -4 -4 -4
26 1 10 1980 1 -4 1 -4 -4 -4 -4 -4 -4 -4 -4 14845 -4 -4 -4 -4 -4 -4 -4 1315 616 1184 1277 -4 4871 1184 1377 601 1919 2378 1980 -4 -4 -4 -4 -4 -4 -4
27 1 5 1981 1 95 1 -4 -5 -4 -4 -4 -4 -4 -4 20807 4635 -4 -4 -4 -4 -4 -4 1221 1142 1234 584 -4 -4 1270 2024 744 1531 832 1854 -4 -4 -4 -4 -4 -4 -4
28 2 11 1983 1 101 1 -4 -4 -4 -4 -4 -4 -4 -4 12728 4291 -4 -4 -4 -4 -4 -4 1553 1020 1337 758 -4 -4 1850 524 1729 363 749 1109 -4 -4 -4 -4 -4 -4 -4
29 2 1 1983 1 -3 4 -4 -4 -4 -5 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -5
30 1 6 1981 1 -4 4 -5 -4 -5 -5 -5 238 -5 -5 17041 6892 -5 -5 258 -5 -5 -5 1061 -5 226 795 -5 -5 1390 1548 -5 163 1139 1049 -4 -4 -4 -4 -4 -4 -5
31 1 7 1982 1 107 4 -4 -4 -4 -4 -4 607 -4 425 24019 11495 -4 -4 1216 -4 -4 -4 733 -4 1730 -4 -4 -4 2377 975 -4 1867 352 35 -4 -4 -4 -4 450 590 -4
